wkt_geom;Value;Count;World_Lan1;World_Mois;World_Temp;World_Lan2;LF_ClassNa;LC_ClassNa;Temp_Class;Moisture_C;Temp_Moist;W_Ecosystm
NULL;50;69987067;2;3;1;3;Hills;Forest;Boreal;Moist;Boreal Moist;Boreal Moist Forest on Hills
NULL;51;21548405;1;3;1;6;Mountains;Sparsely or Non-vegetated;Boreal;Moist;Boreal Moist;Boreal Moist Sparsely or Non-vegetated on Mountains
NULL;52;36929178;4;3;1;2;Plains;Shrubland;Boreal;Moist;Boreal Moist;Boreal Moist Shrubland on Plains
NULL;53;93810669;4;3;1;3;Plains;Forest;Boreal;Moist;Boreal Moist;Boreal Moist Forest on Plains
NULL;54;24442742;1;3;1;2;Mountains;Shrubland;Boreal;Moist;Boreal Moist;Boreal Moist Shrubland on Mountains
NULL;55;108821462;1;3;1;3;Mountains;Forest;Boreal;Moist;Boreal Moist;Boreal Moist Forest on Mountains
NULL;56;11790914;1;3;1;4;Mountains;Grassland;Boreal;Moist;Boreal Moist;Boreal Moist Grassland on Mountains
NULL;57;7363111;3;3;1;6;Tablelands;Sparsely or Non-vegetated;Boreal;Moist;Boreal Moist;Boreal Moist Sparsely or Non-vegetated on Tablelands
NULL;58;3741466;3;3;1;2;Tablelands;Shrubland;Boreal;Moist;Boreal Moist;Boreal Moist Shrubland on Tablelands
NULL;59;1426915;3;3;1;4;Tablelands;Grassland;Boreal;Moist;Boreal Moist;Boreal Moist Grassland on Tablelands
NULL;60;1052389;2;3;1;1;Hills;Cropland;Boreal;Moist;Boreal Moist;Boreal Moist Cropland on Hills
NULL;61;41711;4;2;6;1;Plains;Cropland;Polar;Dry;Polar Dry;Polar Dry Cropland on Plains
NULL;62;1402021;4;3;1;1;Plains;Cropland;Boreal;Moist;Boreal Moist;Boreal Moist Cropland on Plains
NULL;63;30897409;3;3;1;3;Tablelands;Forest;Boreal;Moist;Boreal Moist;Boreal Moist Forest on Tablelands
NULL;64;172;4;3;6;5;Plains;Settlement;Polar;Moist;Polar Moist;Polar Moist Settlement on Plains
NULL;65;755685;1;2;6;3;Mountains;Forest;Polar;Dry;Polar Dry;Polar Dry Forest on Mountains
NULL;66;8316733;4;2;1;6;Plains;Sparsely or Non-vegetated;Boreal;Dry;Boreal Dry;Boreal Dry Sparsely or Non-vegetated on Plains
NULL;67;1472476;1;3;1;1;Mountains;Cropland;Boreal;Moist;Boreal Moist;Boreal Moist Cropland on Mountains
NULL;68;28083251;4;2;1;3;Plains;Forest;Boreal;Dry;Boreal Dry;Boreal Dry Forest on Plains
NULL;69;3567522;4;2;1;2;Plains;Shrubland;Boreal;Dry;Boreal Dry;Boreal Dry Shrubland on Plains
NULL;70;4239442;2;2;1;6;Hills;Sparsely or Non-vegetated;Boreal;Dry;Boreal Dry;Boreal Dry Sparsely or Non-vegetated on Hills
NULL;71;978391;2;2;1;2;Hills;Shrubland;Boreal;Dry;Boreal Dry;Boreal Dry Shrubland on Hills
NULL;72;22377549;2;2;1;3;Hills;Forest;Boreal;Dry;Boreal Dry;Boreal Dry Forest on Hills
NULL;73;398919;3;3;1;1;Tablelands;Cropland;Boreal;Moist;Boreal Moist;Boreal Moist Cropland on Tablelands
NULL;74;4094172;2;2;1;4;Hills;Grassland;Boreal;Dry;Boreal Dry;Boreal Dry Grassland on Hills
NULL;75;3196555;4;2;1;4;Plains;Grassland;Boreal;Dry;Boreal Dry;Boreal Dry Grassland on Plains
NULL;76;22678;2;2;6;1;Hills;Cropland;Polar;Dry;Polar Dry;Polar Dry Cropland on Hills
NULL;77;975366;4;2;1;1;Plains;Cropland;Boreal;Dry;Boreal Dry;Boreal Dry Cropland on Plains
NULL;78;1358614;3;2;1;6;Tablelands;Sparsely or Non-vegetated;Boreal;Dry;Boreal Dry;Boreal Dry Sparsely or Non-vegetated on Tablelands
NULL;79;922888;1;2;6;1;Mountains;Cropland;Polar;Dry;Polar Dry;Polar Dry Cropland on Mountains
NULL;80;6990;3;2;6;1;Tablelands;Cropland;Polar;Dry;Polar Dry;Polar Dry Cropland on Tablelands
NULL;81;319342;3;2;1;2;Tablelands;Shrubland;Boreal;Dry;Boreal Dry;Boreal Dry Shrubland on Tablelands
NULL;82;7699503;3;2;1;3;Tablelands;Forest;Boreal;Dry;Boreal Dry;Boreal Dry Forest on Tablelands
NULL;83;862846;3;2;1;4;Tablelands;Grassland;Boreal;Dry;Boreal Dry;Boreal Dry Grassland on Tablelands
NULL;84;26786;4;2;1;5;Plains;Settlement;Boreal;Dry;Boreal Dry;Boreal Dry Settlement on Plains
NULL;85;1362828;2;2;1;1;Hills;Cropland;Boreal;Dry;Boreal Dry;Boreal Dry Cropland on Hills
NULL;86;42060;4;3;1;5;Plains;Settlement;Boreal;Moist;Boreal Moist;Boreal Moist Settlement on Plains
NULL;87;28384;2;3;1;5;Hills;Settlement;Boreal;Moist;Boreal Moist;Boreal Moist Settlement on Hills
NULL;88;8316666;1;2;1;6;Mountains;Sparsely or Non-vegetated;Boreal;Dry;Boreal Dry;Boreal Dry Sparsely or Non-vegetated on Mountains
NULL;89;11571226;1;2;1;4;Mountains;Grassland;Boreal;Dry;Boreal Dry;Boreal Dry Grassland on Mountains
NULL;90;28664632;1;2;1;3;Mountains;Forest;Boreal;Dry;Boreal Dry;Boreal Dry Forest on Mountains
NULL;91;295975;3;2;1;1;Tablelands;Cropland;Boreal;Dry;Boreal Dry;Boreal Dry Cropland on Tablelands
NULL;92;3287343;1;2;1;2;Mountains;Shrubland;Boreal;Dry;Boreal Dry;Boreal Dry Shrubland on Mountains
NULL;93;3050255;1;2;1;1;Mountains;Cropland;Boreal;Dry;Boreal Dry;Boreal Dry Cropland on Mountains
NULL;94;5107;3;3;1;5;Tablelands;Settlement;Boreal;Moist;Boreal Moist;Boreal Moist Settlement on Tablelands
NULL;95;138;4;2;6;5;Plains;Settlement;Polar;Dry;Polar Dry;Polar Dry Settlement on Plains
NULL;96;7334989;1;3;2;2;Mountains;Shrubland;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Shrubland on Mountains
NULL;97;66692749;1;3;2;3;Mountains;Forest;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Forest on Mountains
NULL;98;3668804;1;3;2;6;Mountains;Sparsely or Non-vegetated;Cool Temperate;Moist;Cool Temperate Moist;Cool Temperate Moist Sparsely or Non-vegetated on Mountains
